StationNumber,Station name,Date/Time,"pH, water,unfltrd field, std units","Specificconductance,wat unfuS/cm @25 degC","Temperature, water, deg C","Dissolvedoxygen, mg/L","Nitrate +nitrite water,in situmg/L as",county
03336890,"SPOON RIVER NEAR ST. JOSEPH, IL",02/11 00:45 CST,--,--,--,--,0.9,
03338780,"NORTH FORK VERMILION RIVER NEAR BISMARCK, IL",02/11 00:15 CST,--,--,--,--,2.0,
03339000,"VERMILION RIVER NEAR DANVILLE, IL",02/11 00:15 CST,8.1,999,0.2,18.0,3.8,
03346500,"EMBARRAS RIVER AT LAWRENCEVILLE, IL",02/10 23:00 CST,7.2,0.,-4.3,16.6,3.5,
03381495,"LITTLE WABASH RIVER AT MAIN ST AT CARMI, IL",02/10 23:00 CST,***,***,--,***,1.8,
,,07/19 11:00 CST,--,--,***,--,--,
03612600,"OHIO RIVER AT OLMSTED, IL",02/06 09:00 CST,7.5,331,3.7,12.5,--,
,,02/04 09:45 CST,--,--,--,--,1.55,
05440700,"ROCK RIVER AT BYRON, IL",02/11 00:15 CST,--,--,0.1,--,--,
05446500,"ROCK RIVER NEAR JOSLIN, IL",02/10 23:00 CST,--,Ssn,--,Ssn,Ssn,
,,01/04 12:45 CST,Ssn,--,--,--,--,
,,12/18 12:30 CST,--,--,Ssn,--,--,
05447500,"GREEN RIVER NEAR GENESEO, IL",02/10 23:00 CST,Ssn,Ssn,--,Ssn,Ssn,
,,12/18 13:45 CST,--,--,Ssn,--,--,
05527000,"KANKAKEE RIVER AT CUSTER PARK, IL",02/11 00:15 CST,--,--,-0.2,--,--,
05527500,"KANKAKEE RIVER NEAR WILMINGTON, IL",02/11 00:45 CST,--,--,0.5,--,--,
05536995,"CHICAGO SANITARY AND SHIP CANAL AT ROMEOVILLE, IL",
,P1,02/10 19:00 CST,--,"2,730",2.6,--,--,
,P2,02/10 19:00 CST,--,"2,850",2.6,--,--,
,P3,02/10 19:00 CST,--,"2,810",3.3,--,--,
,P4,02/10 19:00 CST,--,"2,810",2.6,--,--,
05537980,"DES PLAINES RIVER AT ROUTE 53 AT JOLIET, IL",02/11 00:30 CST,7.8,"2,840",2.1,11.5,6.7,
05538020,"DES PLAINES RIVER IN LOCK CHANNEL AT ROCKDALE, IL",02/10 22:45 CST,7.6,"2,930",3.0,13.1,--,
,[CO2],11/19 11:45 CST,--,--,***,--,--,
05539670,"DES PLAINES RIVER AT CHANNAHON, IL",
,CS,02/11 00:15 CST,--,"3,220",2.3,--,--,
05543010,"ILLINOIS RIVER AT SENECA, IL",12/13 14:45 CST,8.1,945,6.9,12.9,Eqp,
05549400,"FOX RIVER AT MILLER BRIDGE NEAR MCHENRY, IL",02/10 17:00 CST,--,--,0.0,--,--,
05553700,"ILLINOIS RIVER AT STARVED ROCK, IL",
,YSI,02/10 23:45 CST,8.4,"1,620",0.0,15.2,--,
05558300,"ILLINOIS RIVER AT HENRY, IL",02/10 23:45 CST,--,--,-0.1,--,--,
,YSI,02/10 23:45 CST,8.5,"1,180",0.2,17.6,--,
05578100,"SALT CREEK NEAR FARMER CITY, IL",02/11 00:30 CST,--,Dis,--,--,--,
,,02/10 14:30 CST,--,--,Ice,--,--,
05578250,"NORTH FORK SALT CREEK NEAR DE WITT, IL",02/11 00:30 CST,--,--,-0.2,--,--,
,,08/08 06:30 CST,--,Dis,--,--,--,
05578300,"CLINTON LAKE NEAR LANE, IL",
,Sutron Thermistor-A,02/11 00:00 CST,--,--,0.3,--,--,
,Sutron Thermistor-B,02/11 00:00 CST,--,--,0.4,--,--,
05586300,"ILLINOIS RIVER AT FLORENCE, IL",02/11 00:30 CST,--,--,-0.0,--,3.3,
,[YSI],02/11 00:30 CST,11.6,962,--,13.6,--,
05595000,"KASKASKIA RIVER AT NEW ATHENS, IL",02/10 23:00 CST,8.0,360,-0.0,14.8,1.0,
,[YSI],02/10 23:00 CST,--,--,-0.0,--,--,
05599490,"BIG MUDDY RIVER AT RTE 127 AT MURPHYSBORO, IL",02/10 23:00 CST,7.5,506,1.0,13.0,1.1,
412320088154101,"KANKAKEE R AT INFLOW OF POWER PLANT NR LORENZO, IL",02/11 00:00 CST,--,--,0.7,--,--,
413339087223001,"LITTLE CALUMET RIVER AT BURR STREET AT GARY, IN",02/11 01:15 EST,--,--,3.0,--,--,
422308088195601,45N8E-17.7h1 (9-MCH-S),02/11 00:00 CST,--,--,Dis,--,--,
422848088191001,46N8E-08.2e1 (4-RCH-S),02/11 00:30 CST,--,--,Dis,--,--,
