StationNumber,Station name,"Temperature, water, deg C","Specificconductance,wat unfuS/cm @25 degC","Turbidity, IR LED light,det ang90 deg, FNU",Suspendedsedimnt uncal-ibrated sensor mg/L,Date/Time,county
06006000,Red Rock Cr ab Lakes nr Lakeview MT,Ssn,--,--,--,02/10 23:30 MST,UPPER MISSOURI RIVER BASIN
06023000,Ruby River near Twin Bridges MT,Ssn,--,--,--,02/10 23:45 MST,UPPER MISSOURI RIVER BASIN
06023100,"Beaverhead River at Twin Bridges, MT",Ssn,--,--,--,02/10 23:30 MST,UPPER MISSOURI RIVER BASIN
06024450,Big Hole River bl Big Lake Cr at Wisdom MT,Ssn,--,--,--,02/10 22:45 MST,UPPER MISSOURI RIVER BASIN
06024580,Big Hole River near Wise River MT,-0.9,--,--,--,02/10 23:30 MST,UPPER MISSOURI RIVER BASIN
06025250,Big Hole River at Maiden Rock nr Divide MT,0.2,--,--,--,02/10 22:45 MST,UPPER MISSOURI RIVER BASIN
06025500,Big Hole River near Melrose MT,Ssn,--,--,--,02/10 23:15 MST,UPPER MISSOURI RIVER BASIN
06026210,Big Hole River near Glen MT,Ssn,--,--,--,02/10 23:30 MST,UPPER MISSOURI RIVER BASIN
06026420,"Big Hole R bl Hamilton Ditch nr Twin Bridges, MT",Ssn,--,--,--,02/10 17:30 MST,UPPER MISSOURI RIVER BASIN
06026500,Jefferson River near Twin Bridges MT,Ssn,--,--,--,02/10 23:15 MST,UPPER MISSOURI RIVER BASIN
06027600,"Jefferson River at Parsons Bdg nr Silver Star, MT",Ssn,--,--,--,12/27 20:30 MST,UPPER MISSOURI RIVER BASIN
06035000,Willow Creek near Harrison MT,Ssn,--,--,--,02/10 23:15 MST,UPPER MISSOURI RIVER BASIN
06036805,"Firehole River at Old Faithful, YNP",2.6,--,--,--,02/10 23:00 MST,UPPER MISSOURI RIVER BASIN
06036905,Firehole River near West Yellowstone MT,6.0,--,--,--,02/10 23:00 MST,UPPER MISSOURI RIVER BASIN
06036940,"Tantalus Creek at Norris Junction, YNP",13.8,--,--,--,02/10 23:30 MST,UPPER MISSOURI RIVER BASIN
06037500,"Madison River near West Yellowstone, MT",1.7,--,--,--,02/10 23:30 MST,UPPER MISSOURI RIVER BASIN
06038500,Madison River bl Hebgen Lake nr Grayling MT,2.5,--,--,--,02/10 22:45 MST,UPPER MISSOURI RIVER BASIN
06038800,Madison River at Kirby Ranch nr Cameron MT,0.2,--,--,--,02/10 23:45 MST,UPPER MISSOURI RIVER BASIN
06041000,Madison River bl Ennis Lake nr McAllister MT,0.8,--,--,--,02/10 23:45 MST,UPPER MISSOURI RIVER BASIN
06043120,"Gallatin River above Deer Creek, near Big Sky, MT",Ssn,--,--,--,02/10 23:30 MST,UPPER MISSOURI RIVER BASIN
06052500,Gallatin River at Logan MT,Ssn,--,--,--,02/05 20:45 MST,UPPER MISSOURI RIVER BASIN
06054500,Missouri River at Toston MT,0.0,--,--,--,02/10 23:00 MST,UPPER MISSOURI RIVER BASIN
06066500,Missouri River bl Holter Dam nr Wolf Cr MT,1.5,--,--,--,02/10 23:45 MST,UPPER MISSOURI RIVER BASIN
06073500,Dearborn River near Craig MT,Ssn,--,--,--,02/10 22:30 MST,UPPER MISSOURI RIVER BASIN
06077200,Smith River bl Eagle Cr nr Fort Logan MT,0.3,--,--,--,02/10 23:15 MST,UPPER MISSOURI RIVER BASIN
06085800,Sun River at Simms MT,-1.8,--,--,--,11/07 20:45 MST,UPPER MISSOURI RIVER BASIN
06098120,"Birch Creek at Bullhead Bridge, nr Valier, MT",0.0,--,--,--,02/10 23:30 MST,LOWER MISSOURI RIVER BASIN
06101630,"Marias River at Highway 223 bridge near Chester,MT",Ssn,--,--,--,02/10 23:45 MST,LOWER MISSOURI RIVER BASIN
06102050,Marias River near Loma MT,Ssn,--,--,--,02/10 23:00 MST,LOWER MISSOURI RIVER BASIN
06115200,Missouri River near Landusky MT,3.5,--,--,--,10/19 11:30 MDT,LOWER MISSOURI RIVER BASIN
06178500,East Poplar River at international boundary,--,"1,520",--,--,02/10 23:30 MST,LOWER MISSOURI RIVER BASIN
06188000,Lamar River nr Tower Ranger Station YNP,-0.1,--,--,--,02/07 09:15 MST,YELLOWSTONE RIVER BASIN
06190540,"Boiling River at Mammoth,YNP",53.6,--,--,--,02/10 23:15 MST,YELLOWSTONE RIVER BASIN
06191500,Yellowstone River at Corwin Springs MT,0.2,--,--,--,02/10 23:00 MST,YELLOWSTONE RIVER BASIN
06192500,"Yellowstone River near Livingston, MT",11.5,--,--,--,10/01 01:00 MDT,YELLOWSTONE RIVER BASIN
06192900,"Dugout Creek at mouth, nr Wilsall, MT",-0.0,--,--,--,02/10 23:15 MST,YELLOWSTONE RIVER BASIN
06192980,"Shields River abv Smith Cr, nr Wilsall, MT",0.8,--,--,--,02/10 23:15 MST,YELLOWSTONE RIVER BASIN
06195750,"Yellowstone River at Springdale, MT",Ssn,--,--,--,02/05 18:00 MST,YELLOWSTONE RIVER BASIN
06195950,"Yellowstone River at Big Timber, MT",Ssn,--,--,--,02/10 23:30 MST,YELLOWSTONE RIVER BASIN
06204070,W Rosebud Cr at Emerald Lk Campground nr Roscoe,0.3,--,--,--,02/10 23:30 MST,YELLOWSTONE RIVER BASIN
06205000,Stillwater River near Absarokee MT,Ssn,--,--,--,02/10 23:15 MST,YELLOWSTONE RIVER BASIN
06214500,Yellowstone River at Billings MT,1.1,--,--,--,02/10 23:00 MST,YELLOWSTONE RIVER BASIN
06306300,Tongue River at State Line nr Decker MT,--,672,--,--,10/21 09:45 MDT,YELLOWSTONE RIVER BASIN
06307500,Tongue River at Tongue R Dam nr Decker MT,--,Ssn,--,--,10/21 07:45 MDT,YELLOWSTONE RIVER BASIN
06307830,Tongue R bl Brandenberg bridge nr Ashland MT,--,764,--,--,10/20 12:00 MDT,YELLOWSTONE RIVER BASIN
06308500,"Tongue River at Miles City, MT",--,Ssn,--,--,02/10 23:00 MST,YELLOWSTONE RIVER BASIN
06329500,Yellowstone River near Sidney MT,--,--,--,Tst,02/10 23:00 MST,YELLOWSTONE RIVER BASIN
,,Ssn,--,--,--,02/10 16:45 MST,YELLOWSTONE RIVER BASIN
,,--,--,62.9,--,10/30 10:00 MDT,YELLOWSTONE RIVER BASIN
12301933,Kootenai River bl Libby Dam nr Libby MT,4.6,252,1.3,--,02/10 23:00 MST,UPPER COLUMBIA RIVER BASIN
12305000,"KOOTENAI RIVER AT LEONIA, ID",2.2,--,--,--,02/10 22:15 PST,UPPER COLUMBIA RIVER BASIN
12323233,"Blacktail Creek above Grove Gulch, at Butte, MT",Ssn,--,--,--,10/21 10:00 MDT,UPPER COLUMBIA RIVER BASIN
,,--,--,Ssn,--,09/24 06:15 MDT,UPPER COLUMBIA RIVER BASIN
12323242,"Silver Bow Creek at Montana Street, at Butte, MT",Ssn,--,Ssn,--,10/21 10:30 MDT,UPPER COLUMBIA RIVER BASIN
12323700,"Mill Creek at Opportunity, MT",--,--,Ssn,--,02/10 23:30 MST,UPPER COLUMBIA RIVER BASIN
12323720,"Willow Creek at Opportunity, MT",--,--,Ssn,--,10/01 13:15 MDT,UPPER COLUMBIA RIVER BASIN
12323770,Warm Springs Creek at Warm Springs MT,0.1,--,--,--,02/10 23:45 MST,UPPER COLUMBIA RIVER BASIN
,,--,--,Ssn,--,10/01 10:45 MDT,UPPER COLUMBIA RIVER BASIN
12323840,Lost Creek near Anaconda MT,--,--,Ssn,--,10/01 11:45 MDT,UPPER COLUMBIA RIVER BASIN
12324200,Clark Fork at Deer Lodge MT,--,--,--,0.5,10/21 11:45 MDT,UPPER COLUMBIA RIVER BASIN
,,--,--,5.0,--,10/14 13:00 MDT,UPPER COLUMBIA RIVER BASIN
12324400,Clark Fork ab Little Blackfoot R nr Garrison MT,-0.3,--,--,--,02/10 22:45 MST,UPPER COLUMBIA RIVER BASIN
,,--,--,--,6.1,10/21 13:45 MDT,UPPER COLUMBIA RIVER BASIN
,,--,--,42.3,--,08/14 04:00 MDT,UPPER COLUMBIA RIVER BASIN
12334510,Rock Creek near Clinton MT,Ssn,--,--,--,02/10 22:45 MST,UPPER COLUMBIA RIVER BASIN
12340000,Blackfoot River near Bonner MT,0.2,--,--,--,02/10 23:45 MST,UPPER COLUMBIA RIVER BASIN
12344000,Bitterroot River near Darby MT,Ssn,--,--,--,02/10 23:15 MST,UPPER COLUMBIA RIVER BASIN
12352500,Bitterroot River near Missoula MT,Ssn,--,--,--,02/10 22:45 MST,UPPER COLUMBIA RIVER BASIN
12353650,"Clark Fork at Superior, MT",Ssn,--,--,--,02/10 23:15 MST,UPPER COLUMBIA RIVER BASIN
12354700,"Clark Fork near Paradise, MT",Ssn,--,--,--,02/10 23:15 MST,UPPER COLUMBIA RIVER BASIN
12355342,"Hallowat Creek abv Kletomus Creek, near Olney, MT",0.7,--,--,--,12/16 04:45 MST,UPPER COLUMBIA RIVER BASIN
12355347,"Big Creek below Lookout Creek, near Apgar, MT",-0.0,--,--,--,02/10 23:30 MST,UPPER COLUMBIA RIVER BASIN
12355500,N F Flathead River nr Columbia Falls MT,Ssn,--,--,--,02/10 22:45 MST,UPPER COLUMBIA RIVER BASIN
12363000,Flathead River at Columbia Falls MT,0.7,--,--,--,02/10 22:45 MST,UPPER COLUMBIA RIVER BASIN
12388700,Flathead River at Perma MT,Ssn,--,--,--,02/10 23:30 MST,UPPER COLUMBIA RIVER BASIN
05014300,Swiftcurrent Cr ab Swiftcurrent Lk at Many Glacier,Ssn,--,--,--,12/27 16:30 MST,HUDSON BAY BASIN
