StationNumber,Station name,Date/Time,"pH, water,unfltrd field, std units","Specificconductance,wat unfuS/cm @25 degC","Temperature, water, deg C","Dissolvedoxygen, mg/L",county
02077200,"HYCO CREEK NEAR LEASBURG, NC",02/11 00:45 EST,--,--,8.2,--,03010104 Lower Dan
02077303,"HYCO R BL ABAY D NR MCGEHEES MILL, NC",02/11 00:45 EST,--,--,8.6,--,03010104 Lower Dan
0208062765,"ROANOKE RIVER AT HALIFAX, NC",02/11 01:15 EST,6.9,77,6.1,11.8,03010107 Lower Roanoke
02081022,"ROANOKE RIVER NEAR OAK CITY, NC",02/11 00:45 EST,7.4,77,6.2,11.6,03010107 Lower Roanoke
02081094,"ROANOKE RIVER AT JAMESVILLE, NC",02/11 01:00 EST,6.8,75,7.1,11.0,03010107 Lower Roanoke
0208114150,"ROANOKE RIVER AT NC 45 NR WESTOVER, NC",03010107 Lower Roanoke
,BOTTOM,02/11 01:30 EST,7.1,79,7.1,10.9,03010107 Lower Roanoke
,TOP,02/11 01:30 EST,7.0,79,7.2,10.9,03010107 Lower Roanoke
0208458892,"LAKE MATTAMUSKEET W OF NC HWY 94 NR FAIRFIELD, NC",02/11 01:15 EST,Eqp,625,8.6,11.4,03020105 Pamlico Sound
0208458893,"LAKE MATTAMUSKEET E OF NC HWY 94 NR FAIRFIELD, NC",02/11 01:15 EST,7.5,715,8.3,11.4,03020105 Pamlico Sound
02087182,"FALLS LAKE ABOVE DAM NR FALLS, NC",02/11 01:00 EST,--,--,6.7,--,03020201 Upper Neuse
02101726,"ROCKY R AT US 64 NEAR SILER CITY, NC",02/11 01:30 EST,7.0,69,7.3,11.8,03030003 Deep
02111000,"YADKIN RIVER AT PATTERSON, NC",02/11 00:45 EST,--,--,7.4,--,03040101 Upper Yadkin
0212378405,"PEE DEE R AT HWY731 BL LK TILLERY NR NORWOOD, NC",12/01 00:15 EST,--,--,Ssn,Ssn,03040104 Upper Pee Dee
0212880025,"PEE DEE RIVER BELOW POWERHOUSE DAM NR PEE DEE, NC",12/09 11:00 EST,--,--,Eqp,--,03040201 Lower Pee Dee
,,12/01 00:15 EST,--,--,--,Ssn,03040201 Lower Pee Dee
02129375,"PEE DEE RIVER ABOVE JONES CREEK NEAR CORDOVA, NC",12/01 00:15 EST,--,--,Ssn,Ssn,03040201 Lower Pee Dee
02137727,"CATAWBA R NR PLEASANT GARDENS, NC",02/11 00:45 EST,--,--,8.6,--,03050101 Upper Catawba
02138520,"CATAWBA R AT SR1223 BL LK JAMES NR BRIDGEWATER, NC",12/01 00:15 EST,--,--,Ssn,Ssn,03050101 Upper Catawba
02141500,"CATAWBA RIVER AT RHODHISS, NC",12/01 00:15 EST,--,--,Ssn,Ssn,03050101 Upper Catawba
0214196125,"CATAWBA RIVER AT NC HIGHWAY 16 NR MILLERSVILLE, NC",11/12 06:45 EST,--,--,15.7,10.8,03050101 Upper Catawba
0214244102,"CATAWBA RIVER BL LOOKOUT SHOALS DAM NR SHARON, NC",12/01 00:15 EST,--,--,Ssn,Ssn,03050101 Upper Catawba
0214264790,"CATAWBA R AT RR BRIDGE AB NC 73 AT COWANS FORD, NC",12/01 00:15 EST,--,--,Ssn,Ssn,03050101 Upper Catawba
0214267602,"CATAWBA RIVER DNSTRM DECK MTN IS DAM NR MTN IS, NC",12/01 00:15 EST,--,--,Ssn,Ssn,03050101 Upper Catawba
02145910,"CATAWBA RIVER BL LAKE WYLIE DAM FEWELL ISLAND, SC",12/01 00:15 EST,--,--,Ssn,Ssn,03050103 Lower Catawba
03446000,"MILLS RIVER NEAR MILLS RIVER, NC",02/11 01:30 EST,--,--,6.8,--,06010105 Upper French Broad
03447687,"FRENCH BROAD RIVER NEAR FLETCHER, NC",02/11 01:30 EST,6.9,38,7.6,11.0,06010105 Upper French Broad
03447890,FRENCH BROAD R AT BLUE RIDGE PKWY AT BENT CREEK NC,02/11 01:30 EST,6.8,35,7.5,10.9,06010105 Upper French Broad
03448050,"FRENCH BROAD RIVER BELOW I-26 NEAR BENT CREEK, NC",02/11 01:30 EST,7.0,35,7.5,10.8,06010105 Upper French Broad
0344878100,"HOMINY CREEK NR WEST ASHEVILLE, NC",02/11 01:30 EST,8.3,65,8.2,11.0,06010105 Upper French Broad
03451200,"FRENCH BROAD RIVER AT HAYWOOD RD AT ASHEVILLE, NC",02/11 01:30 EST,8.0,41,8.1,11.2,06010105 Upper French Broad
03451500,"FRENCH BROAD RIVER AT ASHEVILLE, NC",02/11 00:45 EST,7.3,48,8.4,11.2,06010105 Upper French Broad
03456991,"PIGEON RIVER NEAR CANTON, NC",02/11 01:00 EST,--,--,6.5,--,06010106 Pigeon
03460000,"CATALOOCHEE CREEK NEAR CATALOOCHEE, NC",02/11 01:30 EST,--,--,5.9,--,06010106 Pigeon
03460795,"PIGEON R BL POWER PLANT NR WATERVILLE, NC",10/01 13:15 EDT,--,--,Ssn,Ssn,06010106 Pigeon
03512000,"OCONALUFTEE RIVER AT BIRDTOWN, NC",02/11 01:00 EST,7.0,21,7.6,11.2,06010203 Tuckasegee
0351706800,"CHEOAH RIVER NR BEARPEN GAP NR TAPOCO, NC",02/11 01:00 EST,--,--,8.4,--,06010204 Lower Little Tennessee
